KIDEN;Sinistralite;Code usage;Age;Sexe;Code Langue;Code postal;Bonus-malus n;Bonus-Malus n_1;Puissance;Date;Annee vehicule;Primes
1;1;2;1;1;1;2;2;1;2;1;1;1
2;1;2;1;1;2;2;1;1;1;1;1;2
3;1;2;1;1;2;2;1;1;2;1;1;2
8;1;2;1;1;1;2;1;1;2;2;1;2
11;1;2;2;1;1;2;1;1;2;1;1;2
12;1;2;1;1;1;2;1;1;1;1;1;2
14;1;2;1;1;1;2;1;1;1;1;1;2
15;1;2;1;1;2;2;1;1;1;1;1;1
16;1;2;1;2;1;2;1;1;2;1;1;1
17;2;2;1;1;1;2;1;1;2;1;1;2
18;1;2;1;1;1;1;1;1;1;1;1;2
19;1;2;1;2;2;2;1;1;1;1;1;2
20;1;2;1;1;1;2;1;1;1;1;1;2
21;1;2;2;2;1;1;1;1;1;1;1;2
22;1;2;1;1;1;2;1;1;1;1;2;2
23;1;2;2;1;2;2;1;1;2;1;2;2
25;2;2;1;1;2;2;1;1;1;1;2;2
26;1;2;1;1;2;2;1;1;2;1;1;2
28;2;2;1;2;1;1;1;2;1;1;2;2
30;1;2;1;1;1;2;1;1;2;1;1;2
33;1;2;1;1;1;2;1;1;2;1;1;2
37;1;2;1;1;2;2;1;1;1;1;1;2
38;1;2;1;1;2;2;1;2;2;1;1;2
39;1;2;1;1;2;2;1;2;1;2;1;2
40;1;2;1;1;1;2;1;1;1;1;1;2
43;1;2;1;1;1;1;1;1;2;1;1;2
44;2;2;1;1;1;2;1;2;1;2;1;3
45;1;2;1;1;1;2;1;2;1;2;1;2
47;2;2;2;2;2;2;2;2;1;2;1;3
48;1;1;1;3;2;2;1;1;2;2;1;3
49;1;2;1;1;1;2;1;1;1;2;1;1
51;2;2;1;1;1;2;1;1;2;1;2;2
52;1;2;1;1;1;2;1;1;1;1;1;2
53;1;2;1;1;1;2;1;1;2;1;1;2
54;1;2;1;1;2;2;1;2;2;1;2;2
55;1;2;1;1;1;2;1;1;1;1;1;2
56;1;2;1;1;1;2;1;1;1;1;1;2
57;2;1;1;3;1;2;2;2;1;1;2;3
58;2;2;2;1;1;2;2;1;2;1;1;2
59;1;2;1;1;1;2;1;1;2;1;1;2
60;1;2;1;2;1;2;1;1;1;1;1;2
61;1;2;1;1;1;2;1;1;1;1;1;2
62;1;2;1;2;1;2;1;1;2;1;1;1
63;2;1;1;1;1;2;1;1;2;1;2;2
65;1;2;1;2;1;2;1;1;1;1;1;2
66;1;2;1;1;2;2;2;1;1;1;2;2
67;2;1;1;3;1;1;2;2;2;1;1;2
69;2;2;1;2;1;1;2;2;1;1;2;3
70;2;2;1;1;1;1;2;2;1;1;2;3
71;1;2;1;1;1;2;1;1;2;1;1;1
72;2;2;1;1;1;1;1;2;2;1;1;3
73;1;2;1;1;1;2;1;1;2;1;2;2
74;1;2;1;2;2;2;1;1;1;1;2;2
75;1;2;1;2;2;2;1;1;2;1;1;1
77;2;2;2;1;2;2;2;2;2;2;2;1
78;1;2;2;1;2;2;1;1;2;2;1;1
79;1;1;1;1;2;2;1;1;2;1;1;2
80;1;2;1;1;1;2;1;1;2;1;1;2
81;1;2;2;1;1;2;1;1;2;1;1;2
84;1;2;1;2;1;2;1;1;1;1;1;2
86;2;2;1;2;1;2;2;2;1;1;2;2
87;1;2;1;1;1;2;1;1;1;1;1;2
88;2;2;2;1;1;2;1;1;1;1;2;2
89;2;2;2;1;1;1;1;1;1;1;1;2
90;1;2;1;1;1;2;1;1;1;1;1;2
91;2;1;2;1;1;1;2;2;2;1;1;3
92;1;2;1;1;1;2;1;1;1;1;1;2
94;1;2;2;1;2;2;1;1;2;1;1;2
95;1;2;1;1;2;2;1;1;1;1;1;2
97;2;2;1;1;1;2;1;1;1;1;1;2
98;1;2;2;1;1;2;1;1;1;1;1;2
99;1;2;2;1;1;2;1;1;1;1;1;2
100;1;2;1;1;1;1;1;1;1;1;1;2
102;1;1;1;1;1;1;1;1;2;1;1;2
103;1;2;1;1;1;2;1;1;2;1;1;2
105;1;2;1;1;1;2;1;1;2;1;2;1
106;2;1;1;1;1;2;2;2;1;1;1;3
107;2;1;1;1;1;1;2;2;1;1;1;3
108;2;2;1;1;2;2;1;1;1;1;1;2
109;1;2;1;1;1;2;1;1;1;1;1;2
110;1;2;1;1;1;2;1;1;1;1;1;1
111;1;2;1;2;1;1;1;1;1;1;1;2
112;1;2;1;1;2;2;1;1;1;1;1;2
113;1;2;2;1;1;2;1;1;2;1;1;2
114;1;2;1;2;1;1;1;1;2;1;2;2
115;1;2;1;1;1;2;1;1;2;1;1;2
116;1;2;1;2;1;1;1;1;2;1;1;1
119;1;1;2;1;1;1;1;1;1;1;1;2
121;1;2;2;1;1;2;1;1;2;1;1;1
122;1;2;1;1;2;2;1;1;2;1;1;2
125;1;2;2;1;1;2;1;1;1;1;2;2
126;1;2;1;1;1;2;1;1;2;1;1;2
128;1;2;2;1;2;2;1;1;1;1;1;2
129;1;2;1;2;1;2;1;1;2;1;1;1
131;1;2;2;1;1;2;1;1;2;1;1;2
132;2;2;1;2;1;1;1;1;2;1;1;2
135;1;2;2;2;1;2;1;1;1;1;1;2
136;2;1;2;1;1;2;2;2;1;1;1;3
139;2;2;1;1;1;1;1;1;1;1;1;2
140;1;2;1;1;1;2;1;1;2;1;1;2
141;2;2;2;1;1;1;2;2;2;1;1;2
142;2;2;2;1;1;2;1;1;2;1;1;2
143;1;2;1;1;2;2;1;1;1;1;1;2
145;1;2;2;1;1;1;1;1;2;1;1;2
146;2;1;1;3;1;1;2;2;2;1;2;3
148;1;2;1;2;1;2;1;1;2;1;1;1
149;1;2;1;2;2;2;1;1;1;1;1;2
150;1;2;1;2;1;1;1;1;2;1;1;1
151;1;2;2;1;2;2;1;1;2;1;1;1
152;2;2;1;2;1;1;2;2;2;1;2;2
154;2;1;1;2;1;2;2;2;2;1;2;3
159;2;2;2;1;1;2;1;2;2;1;1;2
160;1;2;1;1;1;1;1;1;1;1;1;2
161;2;2;1;2;1;2;1;2;2;1;2;3
162;1;2;1;1;1;2;1;1;2;1;1;2
163;1;2;1;2;1;1;1;1;2;1;1;1
165;2;2;1;1;2;2;2;1;2;1;2;2
166;1;2;2;2;1;2;1;1;2;1;1;1
168;1;2;1;1;1;2;1;1;1;1;1;1
